fatalities,landslide1,latitude,longitude,class
0,1,41.5585,-73.402,0
0,1,0.1115,113.9171,0
0,1,52.3545,-127.698,0
0,1,50.7053,-127.5062,0
0,0,53.3319,-132.4149,0
0,1,50.4335,-127.4846,0
0,2,61.978,-143.168,1
0,1,50.5854,-127.0961,0
0,0,50.9975,-126.4039,0
0,1,1.3542,116.3816,0
3,1,0.7089,107.7503,1
0,1,60.0484,-130.9916,0
5,2,1.1346,97.5239,2
2,2,-11.6953,-71.9165,1
0,3,58.5624,-137.0834,1
0,0,50.2405,-57.5886,0
0,0,50.2405,-57.5886,0
0,0,50.239,-57.5866,0
20,2,25.606,96.275,2
4,1,25.6172,96.3005,1
0,1,25.6167,96.3167,0
70,2,25.6157,96.3167,2
0,0,49.9747,-94.3946,0
2,2,21,99,1
0,1,-43.5586,170.1794,0
0,2,-43.5611,170.1796,0
0,0,-43.5606,170.1806,0
0,0,-43.5698,170.1797,0
0,3,-43.7015,170.0645,1
0,1,-43.643,170.159,0
0,1,-19.0587,178.2123,0
3,2,-1.601,123.5476,1
0,1,28.8254,96.1517,0
0,1,28.8254,96.1509,0
0,1,-16.4724,168.2362,0
0,1,1.8257,113.8995,0
0,0,51.6446,-120.0755,0
0,1,33.303,77.8876,0
11,2,-1.8667,121.5,2
3,2,-1.824,121.5179,1
20,1,38,73,2
0,1,52.9903,-119.3106,0
0,1,-16.7873,177.5073,0
0,2,65.0216,-16.6849,0
0,0,-17.3137,179.4104,0
0,1,32.2278,78.071,0
0,1,32.219,78.072,0
4,1,35.9672,109.0559,1
0,1,-39.0468,146.3552,0
0,1,3.7122,114.1991,0
0,0,3.7944,113.6308,0
0,2,50.6736,-125.712,0
0,0,53.03,-119.22,0
0,1,-16.6872,178.7081,0
0,0,65.9794,-21.4541,0
0,1,2.5871,112.5473,0
0,1,-44.0527,169.38,0
2,1,-44.0582,169.3808,0
5,1,36.5891,109.5249,1
0,1,37.576,72.592,0
0,1,44.5259,-109.9704,0
