landslide_size,fatality_count,longitude,latitude
large,11,107.45,32.5625
small,0,-122.663,45.42
large,10,-75.3587,-11.1295
medium,1,81.708,28.8378
medium,0,123.8978,10.3336
medium,0,124.9668,10.7004
small,0,-117.2665,48.2797
medium,3,-107.622,24.9531
medium,,-114.4194,43.6846
medium,2,100.0845,23.89
medium,4,102.695,25.0967
unknown,0,-122.8178,45.8647
small,0,-122.0704,45.377
small,0,105.5299971,23.14383048
medium,0,124.0419,12.5655
small,0,-122.67,45.521
small,0,-83.071,35.507
small,0,-122.893,46.11
small,0,-122.334,47.432
medium,0,-121.75,48.538
small,0,-122.2,48.72
small,0,-122.909,46.1299
small,0,-122.273,47.538
small,0,-122.037,48.929
medium,6,5.765,36.7946
small,0,-122.2072,47.7573
medium,0,110.3442,1.531
medium,4,116.662,-8.5073
medium,7,-13.2287,8.4841
medium,2,115.0668,5.031
medium,2,-99.1276,19.4271
medium,2,14.252,40.8403
medium,0,88.2788,26.8826
small,0,-118.05,34.162
medium,0,88.3143,26.8572
medium,2,123.226,9.29
medium,2,121.56,14.545
small,0,-79.4305,37.9137
small,0,145.9063,-41.0528
medium,3,83.9806,28.2039
medium,2,84.2279,27.9447
medium,6,131.5729,34.0496
small,0,-83.712126,36.770029
medium,2,132.4592,34.3852
medium,6,103.5868,31.483
medium,0,88.527,27.478
large,13,85.71,28
medium,5,83.8791,28.1046
medium,,-132.7269,56.5561
medium,,-132.7348,56.5692
medium,,-132.5617,56.5787
small,0,-122.5562,47.2846
medium,0,109.9187,-7.571
small,0,104.4530851,22.69040325
small,0,-85.3697,35.0672
small,0,-85.3361,35.1052
large,22,-44.32249842,-23.01374445
unknown,0,-123.1587,45.2335
medium,0,-43.07409842,-22.89234445
medium,0,94.48214677,25.3098633
medium,0,74.8609,36.6567
medium,0,123.9153,10.395
medium,1,79.6367,29.7334
medium,0,123.72,10.57
medium,0,123.98,10.77
very_large,0,-42.6018,-22.2331
medium,2,74.3333,33.8778
small,0,-73.0562,44.9378
medium,0,78.7963,30.7666
medium,2,83.5754,27.7394
medium,0,123.8725,10.335
medium,0,83.2934,28.3683
medium,0,83.2934,28.0889
medium,2,-96.22255907,16.09880042
medium,0,78.5925,30.7652
medium,0,79.0685,30.7331
medium,0,78.4129,31.0188
small,0,-119.7795082,37.67607624
small,0,120.9613282,16.77787239
medium,0,-36.9541,-8.8137
medium,0,123.92,10.39
medium,1,-34.8813,-8.0543
medium,1,79.3318,30.4043
medium,0,-103.7244,19.2444
medium,0,-99.538,17.4974
medium,0,84.54704621,27.83196401
medium,0,-101.7023,19.5805
medium,0,124.9705,10.6073
small,0,-122.8001,49.0229
medium,0,-104.8334,21.7595
small,0,-107.1291,39.4274
small,0,-107.2225,39.4977
medium,7,82.6474,28.3875
large,0,94.514651,26.324724
medium,0,123.89,10.37
medium,0,123.91,10.42
large,0,88.492,27.593
large,,-124.01,42.9744
medium,,77.1029,31.0226
large,20,88.556,27.8385
large,,88.605,27.6558
medium,,-0.9992,5.5779
small,1,84.854632,27.769034
medium,,-60.55,11.3169
medium,1,91.92597729,21.61900923
medium,0,-79.8897,9.3381
medium,0,-79.9029,9.3581
medium,0,78.3881,30.4954
medium,0,78.6695,30.885
medium,0,80.417,29.7986
small,0,-85.97897289,36.27009466
medium,0,-116.9044,50.0023
large,0,94.257523,26.092493
medium,0,77.5947,10.9628
medium,0,77.5947,10.9628
medium,0,82.1847,28.4311
medium,0,93.9413,25.7658
medium,0,82.4393,28.6202
medium,0,94.0885,25.7131
medium,0,123.888,10.329
large,33,91.83258101,22.35037081
medium,1,12.3966,47.446
medium,0,-117.0898,32.5196
large,0,112.61191,-8.034706
large,4,84.069015,28.145796
medium,0,106.7121322,-6.522155904
small,0,94.24416766,26.1445447
medium,1,92.10434768,21.23699085
medium,1,91.87202793,26.20450454
medium,0,-72.34106092,43.65859938
large,0,13.787332,46.726906
small,0,92.03513581,22.77997113
small,0,-112.9476039,37.29584217
large,4,87.640957,27.513641
small,0,94.12901274,25.4976444
unknown,2,-100.3120723,17.85175828
medium,2,105.4244893,23.16100191
large,0,85.201673,27.833565
medium,2,87.055222,27.167781
medium,1,91.92053028,26.22247247
medium,0,83.498645,28.377188
small,0,91.85158907,26.1061808
small,0,91.86227824,26.10430759
large,105,92.22099982,22.74955141
small,0,105.1593663,22.77992936
large,11,-90.604924,14.521881
small,0,-80.00630324,40.24298211
