landslide_size,fatality_count,longitude,latitude,date,country_name,landslide_trigger,injuries,type
large,11,107.45,32.5625,8/1/2008 0:00,China,rain,,landslide
small,0,-122.663,45.42,1/2/2009 2:00,united states,downpour,,mudslide
large,10,-75.3587,-11.1295,1/19/2007 0:00,Peru,downpour,,landslide
medium,1,81.708,28.8378,7/31/2009 0:00,Nepal,monsoon,,landslide
medium,0,123.8978,10.3336,10/16/2010 12:00,Philippines,tropical_cyclone,,landslide
medium,0,124.9668,10.7004,2/16/2012 0:00,Philippines,downpour,,landslide
small,0,-117.2665,48.2797,3/30/2012 0:00,united states,downpour,,mudslide
medium,3,-107.622,24.9531,9/2/2007 0:00,mexico,tropical_cyclone,,complex
medium,0,-114.4194,43.6846,9/5/2007 0:00,united states,rain,,mudslide
medium,2,100.0845,23.89,11/1/2008 0:00,China,downpour,,complex
medium,4,102.695,25.0967,11/1/2008 0:00,China,downpour,,complex
unknown,0,-122.8178,45.8647,12/21/2014 8:10,united states,unknown,0,landslide
small,0,-122.0704,45.377,1/1/2009 22:24,united states,rain,,mudslide
small,0,105.5299971,23.14383048,7/3/2017 14:33,,downpour,0,landslide
medium,0,124.0419,12.5655,1/2/2009 20:30,Philippines,downpour,1,landslide
small,0,-122.67,45.521,1/3/2009 0:00,united states,rain,,mudslide
small,0,-83.071,35.507,1/7/2009 1:41,united states,rain,,landslide
small,0,-122.893,46.11,1/7/2009 0:00,united states,rain,,landslide
small,0,-122.334,47.432,1/7/2009 0:00,united states,rain,,mudslide
medium,0,-121.75,48.538,1/7/2009 0:00,united states,downpour,,landslide
small,0,-122.2,48.72,1/7/2009 0:00,united states,rain,,mudslide
small,0,-122.909,46.1299,1/8/2009 0:00,united states,unknown,,mudslide
small,0,-122.273,47.538,1/8/2009 1:00,united states,rain,,complex
small,0,-122.037,48.929,1/8/2009 6:00,united states,rain,,mudslide
medium,6,5.765,36.7946,1/13/2009 0:00,Algeria,downpour,,landslide
small,0,-122.2072,47.7573,1/13/2009 8:50,united states,rain,,mudslide
medium,0,110.3442,1.531,1/16/2009 13:00,malaysia,rain,,landslide
medium,4,116.662,-8.5073,1/19/2009 23:00,Indonesia,rain,,landslide
medium,7,-13.2287,8.4841,8/13/2009 0:00,sierra leone,downpour,,landslide
medium,2,115.0668,5.031,1/22/2009 0:00,Brunei,downpour,,landslide
medium,2,-99.1276,19.4271,1/22/2009 0:00,mexico,downpour,,landslide
medium,2,14.252,40.8403,1/26/2009 0:00,Italy,downpour,,mudslide
medium,0,88.2788,26.8826,7/22/2009 0:00,India,downpour,,landslide
small,0,-118.05,34.162,2/6/2009 0:00,united states,rain,,mudslide
medium,0,88.3143,26.8572,7/22/2009 0:00,India,downpour,,landslide
medium,2,123.226,9.29,2/7/2009 0:00,Philippines,downpour,,landslide
medium,2,121.56,14.545,9/9/2009 0:00,Philippines,downpour,,landslide
small,0,-79.4305,37.9137,4/20/2009 9:00,united states,downpour,,mudslide
small,0,145.9063,-41.0528,8/23/2009 0:00,Australia,downpour,,complex
medium,3,83.9806,28.2039,7/2/2009 3:00,Nepal,monsoon,,landslide
medium,2,84.2279,27.9447,7/2/2009 0:00,Nepal,monsoon,,landslide
medium,6,131.5729,34.0496,7/21/2009 0:00,Japan,downpour,,landslide
small,0,-83.712126,36.770029,5/19/2017 20:14,,rain,0,mudslide
medium,2,132.4592,34.3852,7/24/2009 0:00,Japan,downpour,,landslide
medium,6,103.5868,31.483,7/25/2009 0:00,China,downpour,,landslide
medium,0,88.527,27.478,7/1/2009 5:40,India,downpour,,landslide
large,13,85.71,28,7/27/2009 0:00,Nepal,monsoon,,landslide
medium,5,83.8791,28.1046,7/31/2009 0:00,Nepal,monsoon,,landslide
medium,0,-132.7269,56.5561,9/20/2009 18:30,united states,downpour,,mudslide
medium,0,-132.7348,56.5692,9/22/2009 2:00,united states,downpour,,mudslide
medium,0,-132.5617,56.5787,9/22/2009 5:00,united states,downpour,,mudslide
small,0,-122.5562,47.2846,11/18/2009 0:00,united states,downpour,,mudslide
medium,0,109.9187,-7.571,11/21/2009 0:00,Indonesia,downpour,,landslide
small,0,104.4530851,22.69040325,7/3/2017 14:33,,downpour,0,landslide
small,0,-85.3697,35.0672,12/9/2009 0:00,united states,downpour,,mudslide
small,0,-85.3361,35.1052,12/9/2009 0:00,united states,downpour,,mudslide
large,22,-44.32249842,-23.01374445,1/1/2010 0:00,Brazil,downpour,28,mudslide
unknown,0,-123.1587,45.2335,2/6/2015 13:18,united states,unknown,0,landslide
medium,0,-43.07409842,-22.89234445,4/5/2010 0:00,Brazil,downpour,,landslide
medium,0,94.48214677,25.3098633,7/29/2010 23:00,India,downpour,,landslide
medium,0,74.8609,36.6567,8/6/2010 0:00,Pakistan,downpour,,landslide
medium,0,123.9153,10.395,10/16/2010 0:00,Philippines,tropical_cyclone,,landslide
medium,1,79.6367,29.7334,7/21/2011 0:00,India,rain,,landslide
medium,0,123.72,10.57,10/17/2010 0:00,Philippines,tropical_cyclone,,landslide
medium,0,123.98,10.77,10/17/2010 0:00,Philippines,tropical_cyclone,,landslide
very_large,0,-42.6018,-22.2331,1/12/2011 0:00,Brazil,downpour,,mudslide
medium,2,74.3333,33.8778,3/19/2007 0:00,India,rain,,landslide
small,0,-73.0562,44.9378,5/4/2011 9:00,united states,downpour,,mudslide
medium,0,78.7963,30.7666,6/29/2011 0:00,India,downpour,,landslide
medium,2,83.5754,27.7394,7/3/2011 0:00,Nepal,downpour,,landslide
medium,0,123.8725,10.335,7/21/2013 0:00,Philippines,rain,,landslide
medium,0,83.2934,28.3683,7/3/2011 0:00,Nepal,downpour,,landslide
medium,0,83.2934,28.0889,7/3/2011 0:00,Nepal,downpour,,landslide
medium,2,-96.22255907,16.09880042,6/2/2017 13:34,,tropical_cyclone,,landslide
medium,0,78.5925,30.7652,7/9/2011 0:00,India,downpour,,landslide
medium,0,79.0685,30.7331,7/9/2011 0:00,India,downpour,,landslide
medium,0,78.4129,31.0188,7/9/2011 0:00,India,downpour,,landslide
small,0,-119.7795082,37.67607624,1/6/2017 14:34,,unknown,0,rock_fall
small,0,120.9613282,16.77787239,5/30/2017 13:34,,rain,0,landslide
medium,0,-36.9541,-8.8137,7/16/2011 0:00,Brazil,downpour,,mudslide
medium,0,123.92,10.39,2/14/2012 0:00,Philippines,downpour,,landslide
medium,1,-34.8813,-8.0543,7/16/2011 0:00,Brazil,downpour,,mudslide
medium,1,79.3318,30.4043,7/21/2011 0:00,India,rain,,landslide
medium,0,-103.7244,19.2444,7/22/2011 0:00,mexico,tropical_cyclone,,landslide
medium,0,-99.538,17.4974,7/22/2011 0:00,mexico,tropical_cyclone,,landslide
medium,0,84.54704621,27.83196401,7/3/2017 18:04,,rain,0,landslide
medium,0,-101.7023,19.5805,7/22/2011 0:00,mexico,tropical_cyclone,,landslide
medium,0,124.9705,10.6073,2/16/2012 0:00,Philippines,downpour,,landslide
small,0,-122.8001,49.0229,11/17/2009 0:00,Canada,downpour,,mudslide
medium,0,-104.8334,21.7595,7/22/2011 0:00,mexico,tropical_cyclone,,landslide
small,0,-107.1291,39.4274,7/30/2011 0:00,united states,rain,,mudslide
small,0,-107.2225,39.4977,7/30/2011 0:00,united states,rain,,mudslide
medium,7,82.6474,28.3875,9/17/2011 9:00,Nepal,downpour,,landslide
large,0,94.514651,26.324724,9/5/2016 18:04,,rain,0,landslide
medium,0,123.89,10.37,2/14/2012 0:00,Philippines,downpour,,landslide
medium,0,123.91,10.42,2/14/2012 0:00,Philippines,downpour,,landslide
large,0,88.492,27.593,8/16/2016 19:22,,rain,0,landslide
large,0,-124.01,42.9744,5/2/2012 0:00,united states,downpour,,landslide
medium,0,77.1029,31.0226,9/18/2012 0:00,India,downpour,,landslide
large,20,88.556,27.8385,9/19/2012 0:00,India,downpour,,landslide
large,0,88.605,27.6558,9/19/2012 0:00,India,downpour,,landslide
medium,0,-0.9992,5.5779,10/19/2012 0:00,Ghana,downpour,,landslide
small,1,84.854632,27.769034,9/2/2016 18:04,,unknown,0,landslide
medium,0,-60.55,11.3169,12/25/2012 3:00,Trinidad and Tobago,rain,,landslide
medium,1,91.92597729,21.61900923,7/4/2017 14:33,,rain,0,landslide
medium,0,-79.8897,9.3381,5/28/2013 0:00,Panama,downpour,,landslide
medium,0,-79.9029,9.3581,5/28/2013 0:00,Panama,downpour,,landslide
medium,0,78.3881,30.4954,6/16/2013 0:00,India,rain,,landslide
medium,0,78.6695,30.885,6/16/2013 0:00,India,rain,,landslide
medium,0,80.417,29.7986,6/16/2013 0:00,India,rain,,landslide
small,0,-85.97897289,36.27009466,5/30/2017 13:34,,rain,0,rock_fall
medium,0,-116.9044,50.0023,6/19/2013 0:00,Canada,downpour,,mudslide
large,0,94.257523,26.092493,9/5/2016 18:04,,rain,0,landslide
medium,0,77.5947,10.9628,6/25/2013 8:00,India,downpour,,landslide
